id	filename	md5	size	state
5bb2a7e9-ebf8-4f4b-b256-a64696debab9	TCGA-BG-A0MU-01A-01-BSA.84f88171-4dfe-4ef7-920d-79674fbf8b55.svs	c82e2b3c0fbb379bccfa4db5b9e53b1f	309999957	released
160c7a5e-5a35-479c-813e-d9be67978940	TCGA-B5-A0K8-01A-01-BSA.de390c6e-0914-4d9e-8819-f2b80a8262f4.svs	c6554cbc90e62223b9662eb8fbb5df0e	234913893	released
126ef728-b947-4e16-b5bb-1c170b2f2655	TCGA-B5-A1MW-01A-01-TSA.92feb8bd-20cc-427d-a955-9fec7b1b6757.svs	e5de49c98d2b74bcdb1ce44cb9058fee	152772549	released
3f872188-c06f-4140-88c4-787ca749a017	TCGA-B5-A11S-01A-01-BSA.26021e2d-0be7-4b9c-b96b-8fee71cf9cb5.svs	3924519d6b7c626826aa627a52cc7e14	228359651	released
2fecc72a-123a-4944-ae7d-0ad825f27c34	TCGA-D1-A0ZV-01A-01-TS1.8cfb7bc6-3f83-45e5-b5a4-b4ea43acdc7a.svs	00e729b30f71280ca6ca41a9295002af	254493087	released
74bd2ccb-e9c2-4a71-98c5-a12c93884cb7	TCGA-D1-A168-01A-03-TSC.4593601c-0515-4fd9-b602-535be165a090.svs	4310b5fac20299ba3ac09e309109d3e9	268953711	released
6198bc1c-ebe0-4f49-a768-001a2bccb9f5	TCGA-AX-A3GI-01A-01-TSA.BEB03E92-2A77-4B41-A987-7464894843F1.svs	7c16436e656986b113cdf72cda7c056c	256195434	released
6b7e462d-a352-490e-abeb-3ad4cfc7930b	TCGA-QS-A5YR-01A-03-TS3.41A0F2D6-2866-4CEA-9395-A33D327EFDCB.svs	2162eef0a359fbb00ba483393570f83f	193265807	released
732c7a09-8c68-4133-8730-595610b7dbd9	TCGA-EO-A3KX-01A-01-TSA.3CED1AD2-8680-4D52-B4CC-D214C0FFF6BE.svs	b576b437f71c8d54b10fe7d3dfd1d635	113131329	released
3e0aeed3-bdb2-48f0-a3fd-b469fd075307	TCGA-AP-A05J-01A-01-BSA.9658ed08-b17d-472b-8a1f-38d957e4e6ce.svs	e957115692ef5afc787af52248ba4416	206993008	released
28e80e94-f3a6-49b6-8f21-ced0cd2ccd26	TCGA-A5-A0GU-01A-01-MS1.af20265b-8332-42ea-b34c-3373bfbb6ed9.svs	bdbc09c5e087e186cdb18952e6f84bdd	439779545	released
beb5a8ed-8f0e-4ae1-a517-f1a97e03c629	TCGA-AP-A3K1-01A-01-TSA.DC088CBF-4362-4820-91BE-2208B620AFA8.svs	46978872a527adc8c214242132c1cc99	263307125	released
00de443a-4e55-4493-bcaa-43162b3d3020	TCGA-AX-A05S-01A-01-BS1.a40fd806-db5e-4b99-a0fa-d6f7bc9b98fc.svs	0936ab3e664311f0090d5e153e53b62a	512731051	released
f839c912-53c9-44e2-903e-0c1a5fa63bb3	TCGA-BK-A0CC-01A-01-BS1.23e497e5-c8f5-464c-a30d-46ef45319bca.svs	2d6f911a0ab0e74746d129fc1bb87cc6	463423755	released
f1c0fcf1-0dd0-48e4-84c0-f5b437553954	TCGA-E6-A1LX-01A-01-TSA.704380e2-d0bd-4d9c-b948-b193b0d105df.svs	74cecbc87fc8be05bdc2abed05ecdb4f	143052403	released
3d7041b6-3213-4972-96f3-0039965509a8	TCGA-BG-A0MT-01A-01-BSA.70501f20-6431-488c-a5c3-b8c6204c3815.svs	d0f51f2b9b28a808a9c89bc8e4d97920	660252301	released
384266df-ed3e-46f6-b18b-96bf64f55487	TCGA-AJ-A3QS-01A-01-TS1.1228CF67-717B-4912-B3D3-C17AE38BF49B.svs	611cd168deffc2045d715b66b508cb59	81079426	released
5a02c630-fee5-4aed-aecf-b9904040dee1	TCGA-BK-A0CC-01A-02-BS2.8e809120-284a-41e9-8b5e-051de7337526.svs	23674e56cff2787fd6c06d44584e687f	531760333	released
683ca45f-d6ec-4714-bc5a-9f99e48014c5	TCGA-AJ-A3OL-01A-01-TSA.0F63B35F-5939-4489-B523-DEE4E02B7BC5.svs	787454d053a0bb92a921dbb2c7e75023	231850555	released
f4dfaa85-b237-49dc-9adf-09ff9068481e	TCGA-QS-A5YQ-01A-01-TS1.BAC674D2-C637-4B09-80EE-3A629B812233.svs	9b4a9ce52690c1f58659d8cee107e850	352353325	released
61f93d8f-efb1-4845-8615-69ed6d3c7dab	TCGA-BG-A0VV-01A-02-BSB.da84e6f7-3adb-4449-b1e9-737c37f2a7a4.svs	ff1fc5dee70a12facf3d8936e887f552	183259829	released
46635493-e687-474d-9bb9-546feabf5cd9	TCGA-AJ-A2QM-01A-01-TSA.A7357359-DE36-4AB7-991C-8A0A08FEB731.svs	57ae5dd7625d0afa4edba749aa4c8969	104552321	released
69dc83a4-8106-426d-871e-a71312e4576d	TCGA-A5-A0GJ-01A-01-BS1.514abe88-06d3-4c49-9426-9e5cf3ab0858.svs	4471e7872f2fd4f6568b4c533379ca77	597116121	released
d536173c-69be-411b-883a-6d75e8619804	TCGA-BS-A0V7-01A-01-BS1.9d67b83e-9c43-4820-a480-1ca0e7f15afd.svs	c6235192f41acac521c3c73221e69860	176134153	released
807a2a5a-83a3-41c1-9e5c-b0d15d907583	TCGA-A5-A0G3-01A-01-TS1.cd672fbe-b1d5-4279-be11-eb92d6da3f97.svs	e712eeb9789fe4d303ad3867b570b769	690419255	released
c0d92f6e-bf83-4981-b397-b3b64f2fdd54	TCGA-B5-A3S1-01A-01-TS1.DD605E90-D91C-45A0-8CB0-2E4FACBD78E2.svs	8fcf7673224886ff7827561e97b5776f	243046419	released
668d1128-7b0a-4a31-b89b-f47929af9934	TCGA-BS-A0UM-01A-01-BS1.09c675dc-fc1b-46d0-994b-2112d909fcec.svs	35156fcbe5035746236a520c8531d2ff	351277145	released
6fc07983-6e9a-4846-bbdd-cfd46b8e88fb	TCGA-EY-A1GQ-01A-02-TSB.9b72acda-452c-42e1-931d-ff3165be1358.svs	6d2ae8134196ac5089649af589de5c0f	238087591	released
f01654b0-551b-4515-8af3-dddac077ad1f	TCGA-BS-A0V4-01A-01-TS1.2d36e6bf-3582-4d6b-b9c2-4b3547ea7732.svs	7b4de6cb8e9771bbe8d0a55c36e7135d	303005119	released
ac4dbaa4-5ee4-4b2e-9e19-b26a464b08b6	TCGA-AX-A06H-01A-01-BS1.a1e105e0-7ae5-4029-9624-ca57ff394b03.svs	bcc8e2942829a625168c62706913e756	409041897	released
767ea624-8cc2-4586-8b8c-082bda18e3b0	TCGA-AP-A0LO-01A-01-TSA.6075d8de-0bbb-491f-aff0-27bcd61f9ee1.svs	166b5ca1f162867ffdbcd02cb0bdb282	240827865	released
1bd48373-d702-4bc2-8351-6263c2c0020e	TCGA-EY-A1GM-01A-01-TSA.f2098f55-a021-491e-b5b8-d72f76fc67f0.svs	744344ed788efb624b7b15e3da805580	193026873	released
