id	filename	md5	size	state
cdef06bb-99da-4d87-be96-e2b7819f8a2a	TCGA-28-5215-01A-01-TS1.28975112-66e0-4b39-966d-b26f23d4aae4.svs	7c853837740f9a7c290df6bfe820421a	53705207	released
8a085113-a089-46b0-a8f9-95b69d7ba9fb	TCGA-32-1979-01A-01-TS1.30225537-c4cb-44a6-bd2f-18dc442c4cc5.svs	43d16e7a31ac1ac18ac49cf54d65a4d8	101107361	released
9ed6c4ff-ef17-4e60-b5d5-f661045c0dfe	TCGA-02-0074-01A-01-TS1.bb04a59e-b905-4aca-912b-7c26ec763ad8.svs	3646679f2e2d3daac7e11d0ae6b04a03	244104135	released
04cc8fb0-8238-4c76-80d4-340fd4371185	TCGA-32-1973-01A-01-BS1.77f37618-8ce7-4bdd-8b02-cbc3e6a299ed.svs	f7eddbe76607e95644383f3b126b45b1	39825361	released
13c37778-cbcd-4fb4-97f4-c84a3cbe1c36	TCGA-02-0326-01A-01-TS1.078acdb5-24fe-498c-9929-c14966c87f1e.svs	d3295f8c8b390e69bfccaadaef1e0f79	206778275	released
03098598-1951-4648-a025-41b02ce43ac2	TCGA-08-0344-01A-01-BS1.53c4af34-0839-4663-8653-f951901a8d54.svs	b0a155691d0a693c3007533d0cff9f6c	70760357	released
d8d3b3ea-8fb3-4177-b2a5-716f5654cf51	TCGA-15-0742-01A-01-BS1.457437c3-c14b-4d07-85a9-9ee1088a28b5.svs	9f145a3f80a3196603bf3e9077a33af9	219280843	released
53675f12-bb7b-494b-aa5d-fc86e9940494	TCGA-76-4935-01A-01-BS1.b9201fa4-bb36-4631-9eca-b7ea0568662a.svs	96b2eace650ee75dedfe1624ef78aa6b	29790165	released
602b343e-c7ed-4736-a9bb-0c47156e4c5d	TCGA-06-0650-01A-01-BS1.a3a8b656-3dfb-4be2-8857-592a79574af4.svs	ec8add59f0f660d66dd8a51217b7b997	137835757	released
a5a3f963-8dca-472b-afd9-2e3fc55aa481	TCGA-32-2638-01A-01-BS1.2ee56008-cd48-48ee-84f7-ad094e6d235e.svs	6d55fbc112d696bf4b02ed4ae402e13e	81099149	released
882e1843-e147-4673-bb95-09c795fab11b	TCGA-12-0826-01A-01-BS1.09dfaf6e-d02f-4fd7-92ba-89a26620490e.svs	3ff625180f08d807ef0681c04edf00a8	141750921	released
438d1688-7642-4805-8e51-be7de6894b94	TCGA-06-0877-01A-01-TS1.689984ec-038c-40a0-90bf-223ce2f00931.svs	9fca3fe4497f3d769c07bb10ff3eed23	143944963	released
725494cb-1e90-4b52-a48b-1e684164fb30	TCGA-28-2501-01A-01-TS1.becbbca2-d009-4b6f-b51c-2faa50450c75.svs	87dcacdf1ec691eeeafc448312181c96	50361751	released
e1276175-812e-429e-922f-009d6202e2dc	TCGA-06-0409-01A-02-BS2.2f0f9237-0760-4bef-976f-035a946d7672.svs	e2330ec2c290241f724098c330184db7	55600539	released
a0d46816-b383-4714-b332-c4a00dad1618	TCGA-76-6192-01A-01-TS1.f9573c17-2ab0-4ca6-8cf9-37c1c33ae390.svs	b2301ee2a7d837ce03fb84a112b16c77	192835327	released
2bfc0fea-dcab-4aa7-995a-762e45a4ddf4	TCGA-06-6695-01A-01-BS1.e9895336-1fed-46bd-8399-50f9d63cbd3d.svs	008e4001b323e85bdfbf85026b5e9943	168933537	released
1f60fb4e-d371-4f14-91b3-7869ee85774f	TCGA-14-1401-01A-01-BS1.cd38e669-ad00-4ed6-a08b-ebd56d8eee5e.svs	ccf2f4738ced657b8e04eafcf69f962d	114228873	released
40bef748-b16d-435f-938b-2f3dc33bb19b	TCGA-12-0688-01A-01-BS1.c4c45ebb-8518-490a-abf7-ee583c7bbaad.svs	f1eefb945e9c15d5040b6f28b79e9f52	28858115	released
a8419b92-a709-496a-bc0a-e547e1b4bbd1	TCGA-19-1789-01A-01-TS1.7fc2a4c6-1449-4365-9f55-e9f551dfff37.svs	e592efe843c2938e54f5b5c9cb1d0271	62719041	released
4d3305eb-42bd-41e6-800e-d83134eae373	TCGA-12-1600-01A-01-BS1.d86f75cd-fcb6-4187-8ea8-c7b05cbf7f32.svs	5e155a665a776ff68c29ede26c735fc4	39531357	released
4ae40027-b624-4ecb-a393-cd4cb960f90b	TCGA-06-0164-01A-01-TS1.2bcef24d-605c-4894-b17a-7c835ba030e4.svs	929cf04958af8c3a72e22e98f0dbf774	103881487	released
a6219ede-6d97-44c5-b97e-e530c00c1916	TCGA-76-4932-01A-01-BS1.c0c56947-3a2b-42ea-8e0b-bf5c76b97376.svs	1d6e95ca7123308a2a738f913ed7e667	152415357	released
1871f599-691a-48e8-a328-199d0f3ba6f2	TCGA-41-2572-01A-01-TS1.67fd82a9-571b-4744-a1a2-44565c43e384.svs	629da8439011ba9fd56a4cc9aa040fea	40234005	released
a8a13c59-a0b9-4533-a7d4-22e4f2cb1e8b	TCGA-12-0618-01A-01-TS1.56ba142f-d2af-4628-aaed-65a20072b8c8.svs	e0be4f2984b8eca00a0fb4ad7190ab3a	164839869	released
42e6ea25-da88-4e8c-9215-597dd4b9fa03	TCGA-32-1987-01A-01-TS1.f3fbf54d-10b0-4307-8cba-178ea04244f6.svs	f01435f7cda69fa644a0e19508cd9fad	90071835	released
d6c2ae37-ea50-4c2d-8bd2-005f6483150e	TCGA-28-1751-01A-01-BS1.71120b58-ac86-4c99-bf81-73d8c08ac74d.svs	62b443e0d819641774b8da244c6cc1e1	198205773	released
ee2f1629-2ed9-4e9c-9d8b-9a24eb1311c0	TCGA-14-1794-01A-01-TS1.8ced9324-b93e-4cff-9d10-4d38f81d3ab3.svs	d229c52d13cb0c83f927edc477409dff	134280047	released
257e4a18-7f57-4c32-a1e6-a9fbc495a99e	TCGA-32-1991-01A-01-TS1.9326d35c-4614-4f6a-b33a-ffec0e54e4b7.svs	56c0c97aae074550654b178678b620cc	116712941	released
474c7672-1828-4de2-bca0-6a9f03bcebdf	TCGA-26-1443-01A-01-TS1.c74107ab-65f8-4c40-8740-7a9c54a053a1.svs	773a285e79e68781d7a61e6108f63c5c	30409223	released
c7fb2dce-787e-4883-9d47-c333e377f7ff	TCGA-76-6283-01A-01-BS1.42864ebe-0a05-410d-adc3-3a7ce3ad3f5d.svs	dd8bf72399226700e7c693b1446a93af	50680723	released
