id	filename	md5	size	state
b86b6822-e975-431f-9258-e359a3e2ecfa	TCGA-66-2769-11A-01-BS1.6251a4ef-88c3-46c2-8e46-61ea3d1a9c0c.svs	e81ecfd9686ad5e25428ea9f6cd24f66	139716251	released
c62af8ba-80c1-4064-91c2-c8a7104d6f18	TCGA-46-3768-01A-01-TS1.5403a393-7958-4d55-9d27-b0d04373aaa5.svs	79e9a6ca8566bd8d97b6152feda37060	62830189	released
24516ac1-5d13-4944-b51f-95c4d1594164	TCGA-39-5028-11A-01-TS1.94cf9533-e0bf-4639-91fc-5b0303b4b401.svs	fb4b5f55cb1288375aa6e505b114963b	240391821	released
6bf6f275-12b4-4771-a19e-57ffed199b72	TCGA-39-5011-01A-01-BS1.489e7c86-c2a4-4153-8378-464e19fdb6e8.svs	a4dbecfde2c52cd97c4108ceffcea975	414710509	released
7a7db37f-17d2-4720-bfc4-899d45ccd934	TCGA-77-8138-01A-01-TS1.2d223e63-a2f4-4dcc-9f56-345eab30c75e.svs	10987e7d0bd7a69f230d035ae5237a26	46314939	released
7aaaf476-d00b-4f87-9479-3e491238c674	TCGA-51-4081-01A-01-TS1.03ddb0fe-10d4-49fa-a079-3fb5f5be73b5.svs	0695df27ab8fdbb5b9d0f435277e86ca	45545445	released
774d72f6-fb9e-435f-8595-707bed31e4bf	TCGA-66-2754-01A-01-BS1.3a7fe080-9b6e-47ba-a9de-6c2e4698fd22.svs	801c44548a09ea9f29ea25eab430aecf	90808191	released
d96121e5-ca04-4b4f-a643-cf5be2a329c5	TCGA-60-2711-01A-01-BS1.2591160e-4240-41ba-a7ef-38f7b135313e.svs	4ad19dee5c4744590da2c580a7d7741d	99831253	released
2cbb6ceb-a1ee-433e-a3aa-939c275eaf59	TCGA-37-A5EL-01A-01-TSA.58C8AF98-6A87-4C7A-AFB6-4CB0F9511F9B.svs	a5ed2c5b01d9ac7af7a510624ba27457	284289017	released
04763838-8c72-4652-a5e0-2106faee14df	TCGA-33-4587-11A-01-TS1.9c0535ae-3c62-4568-b3e1-98c10fb22431.svs	a6336e478567b59713f8983b0d8f5347	172666021	released
64469ef0-120a-422b-a9a7-d8ccb4bf0efb	TCGA-O2-A5IB-01A-01-TS1.C35BA437-7DF7-4C5C-8D45-47A84E627B32.svs	b190797d7e78e33fa8dee89a7f3acf66	455328987	released
7edf8897-d64e-413c-b2e9-c3d2916dfe3d	TCGA-66-2792-01A-01-BS1.f1dad818-a4c5-4af8-8a8d-0ae5f9336146.svs	d426b23f66250facb68555107e37c1d1	60749657	released
c37f450f-46b7-447d-bfdd-9a1cd369e7ff	TCGA-60-2712-11A-01-BS1.96c6afd8-1c05-4749-a563-3b13941513c9.svs	053c4f20d7cdfbcaf9b310d541c27eef	137120027	released
17fe2e59-c5c8-4283-8a1b-106fe1d0420c	TCGA-66-2782-11A-01-BS1.f2024a87-55eb-4deb-889e-6d7337ec978e.svs	c80e200796bcf2ea5fe996aecc0993ea	42408077	released
fc96b334-f427-40f2-8e9b-e3f6e8151476	TCGA-77-8150-01A-01-TS1.5534e41a-fe51-4dae-a2de-79a1abda3f07.svs	185c6631b332417a41eb285d50d78d99	57874593	released
b5b171cd-676f-48bb-86ec-2b4265c7fffd	TCGA-33-4538-01A-01-TS1.f9d4177a-c051-4b11-957c-e6e9801df9d5.svs	d938e5eef7bba96fa2941c89c3f69d68	43816173	released
4e0d109f-51f7-4734-bfc5-e8a2ccef682b	TCGA-34-5929-01A-01-BS1.e00169ea-27e7-496b-adec-3d3e486ce388.svs	4c1b218ef1caff12aca1aa9dfaf40f6e	102751693	released
d0f7a43c-5d60-48f8-a4d6-d5e7686a0a4d	TCGA-33-4587-01A-01-BS1.cccc679f-46ee-47c2-a350-aa2c279d3430.svs	fae0bc307fd115f4143588fe587d98c5	35441515	released
d04048ad-8d84-48fa-ab1b-eeb667ca8e20	TCGA-22-0940-01A-01-BS1.de73c3ec-bb4d-4a95-b359-2095bacdc28d.svs	ed8208233962632d883e5d76572d1707	223063959	released
36a73922-d802-4ab2-8326-53f85a750810	TCGA-56-8504-11A-01-TS1.04a0a88a-63e0-4df4-9c95-5cc8a62a993c.svs	d4d28276ba032f0e979b70e6bc0fb9a3	28918891	released
