id	filename	md5	size	state
5d5e1174-7da4-4fd4-a879-7659653cd779	TCGA-FY-A4B3-01A-01-TS1.697E080E-BD7B-4D78-A5F4-4A823CDA2787.svs	12cabbf0fbe3e3a92facf2b8126a9770	121927835	released
788004c8-2c84-4f83-b8c9-8e06364fb7dc	TCGA-EL-A3N3-11A-01-TS1.CA19411B-9C3E-4B2F-B2DB-C4F946B5421D.svs	a23a0c29a3485fb3c739c157cbc29a37	55812345	released
c36da708-1ea6-435d-a6cd-9a8e7a895a47	TCGA-ET-A2MZ-01A-01-TSA.B281BCD0-24BC-4549-839A-DFB31F2C6887.svs	17d663d9cd303f9d719ee9261c92bb01	203371841	released
b1187e5b-efe8-4891-96d2-38ea29ce9bcf	TCGA-ET-A25O-01A-01-TSA.e8f1502c-146f-4f7f-bedf-a402c3e172b9.svs	c0d5ee454b3105e60ecfce9a5ba0becc	160578115	released
30e0dea4-9fe8-4785-a99e-f98aa90e4344	TCGA-FK-A3S3-01A-01-TS1.DBF67963-A15F-49EA-8228-CE96ABF64778.svs	8303394f6ededf07078f24eed4d69cb8	106306625	released
c45f8d39-421a-4a19-bdf4-eea84862c0e5	TCGA-BJ-A3PR-01A-01-TSA.B332B93A-64C6-478A-9B2F-D1801C47489C.svs	a1e483fa5e3c0cd0fc68a46b966fcd7c	570538265	released
429a38d6-1e0f-42f9-8fc0-0d7d6e5f0574	TCGA-EL-A3MW-11A-01-TSA.CC2D561A-1C41-481E-B5EC-B3CD45FF0CD9.svs	d34a3671d3a7e45d84d5639822d1a9ec	81506295	released
49a1beb7-d4bf-4ed5-8152-99be6bc98dbd	TCGA-EL-A3ZQ-01A-01-TS1.344610D2-AB50-41C6-916E-FF0F08940BF1.svs	4eb1c1ad45f375abb2d6d2ec778d52eb	292466611	released
281ba1d7-69c9-4e0d-a33b-47ad05bada22	TCGA-EM-A1YB-01A-01-TSA.cc64f542-b580-4dd0-8d7e-c8a1409d1dbc.svs	93aa744ff231080cbcdd30c70ede5c92	115778225	released
810b9e6c-c722-4645-94f6-10684ac94a61	TCGA-DJ-A3VG-01A-01-TSA.0F33469A-D6CD-4749-A9F1-64A2D8D6F77A.svs	67f637d3d5700ea07a45b690aca29514	260300289	released
2e6d97b1-d161-485c-b4a7-43f5fadb454e	TCGA-EL-A3H7-01A-01-TS1.18A17F6D-DDD9-4EE9-B7F7-09A5568C4C95.svs	5322062a2fc421d07dc74ad2f60c63a8	225290125	released
2f560361-cfa4-424b-b207-101241a86b7a	TCGA-L6-A4EQ-01A-01-TSA.36048AC8-6456-4E5B-BEC4-2D7A13AF2D35.svs	c10e6ff4fa38fda3baae2fd2b2b6d745	222252201	released
d09a7b48-1f43-4d81-89b8-5c11ab2d9fdd	TCGA-DJ-A2PS-01A-01-TSA.55D95718-80BC-4CC1-9790-C81BD0235F9D.svs	25314328adc02c4835f0bee5c35217b0	414447635	released
97734b33-5328-4b15-bfa8-f53f1e4ee230	TCGA-EL-A3H7-11A-01-TS1.3AFD26B4-D4E7-4A0C-BDCA-C5A315377445.svs	5d0ff2f5ea07c4356e1973da31eb4e30	38616777	released
b484983d-7af9-42c8-b895-c3f6919022e5	TCGA-DJ-A1QE-01A-02-TSB.5a3a5c52-98e4-45c5-84c4-cbe4490bd92e.svs	dfd1516a1a34cfd6adea218c694520c5	325368141	released
b47a599b-55bd-4a46-b0e3-beae00d4249a	TCGA-DJ-A3UQ-01A-01-TS1.5B4D7D3A-A152-4D70-80E3-30A840B203BA.svs	ef593d32fe6ebd34ec6cc2fdbc0c154b	116085705	released
c469ce7f-24ba-4681-a65c-6510dc840bac	TCGA-DE-A7U5-01A-01-TS1.707D668A-BB30-46CD-A615-FDA271ACBCE1.svs	079ece15bf584b73c672e41e8539c75a	286710819	released
140d7ba8-c696-4e8c-b19d-cbe95f128e76	TCGA-L6-A4ET-01A-01-TS1.E3805FC3-DB4D-4E60-B4F2-3E18EB904782.svs	df6dcb58e030d12b435e3de443b508f7	422934337	released
5e96d74e-e91b-40fb-b7a5-e8bdd87e8281	TCGA-ET-A2N0-01A-01-TSA.4AC5E850-FBE2-4FA4-BD42-4262EB37ED7D.svs	55a6a4b1a856826ae257d2579107ba1b	259543425	released
3560e874-a947-4c6a-8b6e-4ec0d2fd0f6a	TCGA-ET-A25J-01A-01-TSA.0249e123-b532-4a42-909e-dae54e0445f6.svs	ebc72943c9e07de305f98aa4415c0b37	289104691	released
6fe79dab-7f04-449a-a82c-83314684dd87	TCGA-EL-A3H3-01A-01-TS1.AF451DA6-42D2-4E86-8CEB-DC32FD85E8B1.svs	76a406f7555a006d63ab153965f16be1	94101257	released
e0fb24f4-d7f9-48d8-a1c0-8956dc32083c	TCGA-FK-A3SH-01A-01-TSA.83A0C841-50AE-4307-A97C-0BCD429D64A5.svs	3984472d0489d669b2102fe3e08377d8	319750489	released
13280451-72ce-42ad-ae4c-0dd24c9d0c50	TCGA-IM-A41Y-01A-01-TS1.9949B290-CD9F-4C02-8A70-691EFBBF0DE9.svs	9bf3bbee041ff86fe8764dc9f681047d	242575949	released
0de5e141-ec9b-4122-8bb5-c1baeb000a1f	TCGA-BJ-A45D-01A-01-TSA.A03643A3-9A3A-4C90-B4EC-26D351C0FEA4.svs	bcae4747177261f7ae23638e3c923be4	251937443	released
2f3a87f2-29b8-4cae-946a-1775391ed9f4	TCGA-EL-A4K7-01A-01-TSA.9C9A3C2D-BB6E-4B79-B998-FE12CCC2943A.svs	46629fd3c860742a07299e7e128ce8e5	119852117	released
b0e474f8-caf1-40bf-bf1d-a3dd442ffe6d	TCGA-EM-A22I-01A-01-TSA.2CA7756F-CF1B-4FE3-8BF0-5864AF6D722F.svs	e250b5d03b4bedc53cab078a109692da	422330659	released
0451e275-18ff-49fc-8ab1-e56b19daab00	TCGA-KS-A4I5-11A-01-TS1.5EEE8E0C-040D-4F84-B1F2-0CE307F1580D.svs	5e7266220ffc92564bc5e965f59dccee	53755993	released
af155786-c97c-42be-a539-5468b580c7ce	TCGA-EL-A4K7-11A-01-TS1.C08B59AA-87DF-4ABB-8B70-25FEF9893C7F.svs	096aebea0020a0bdf31ef8237ded7323	22575905	released
fa47e1b1-9632-46ee-9eff-a17740083a85	TCGA-EL-A3MY-11A-01-TSA.B85A50E2-B01A-467D-B044-C0F702B88E2F.svs	5a96e84f1db376d9625b2ce4abc7f008	44903529	released
e553a086-d759-440b-a3ff-9ff8ee0eb71a	TCGA-EM-A1CV-01A-01-TSA.fedb2dd3-eea5-4d52-a502-37d31d7324ac.svs	14c1375d62971c128665a6e2041219ee	98299673	released
8aec2e60-86ca-4d83-a5e4-d70e18f02ba2	TCGA-EM-A2CN-01A-01-TSA.0515641F-054C-40C0-9455-F8A335F9DA7F.svs	7b7ea451437bcbf836f1615d92377b41	187596945	released
764ec2cc-793f-4941-bc2c-e55973b7790b	TCGA-FY-A3I4-01A-01-TS1.F2BC1961-25B4-41D7-8202-0FF6485F81F9.svs	73908824ab4923e9da67a3731cad1a14	260974463	released
75372abd-70a0-4b6e-b25d-41052eeafc71	TCGA-BJ-A45E-11A-01-TSA.D756950B-F460-4149-9C09-6C5E8CFEA49D.svs	4259d9dfca68c4aa9b4c43b6a0e6ae6b	46858373	released
564b7a3b-c521-4b71-a001-e5a036ba5532	TCGA-EM-A3FR-01A-01-TS1.D64428FC-98F0-45BE-95B4-692E6FE556B7.svs	39ddcc6e125633f672f19db125466dad	220157249	released
b517a58e-aac5-4f7a-a4ef-0fe6a89b8cf5	TCGA-ET-A2N5-01A-01-TSA.F7FC6987-3991-4386-A0B9-E9D1BB063AD8.svs	ff14e434edb9550b533d0e16a8639d7d	152316135	released
f61c6dcf-e18a-4414-b4d5-c7f7cb254fe1	TCGA-EM-A2CO-01A-01-TSA.634DA536-845F-49C8-95C0-267DB322F57D.svs	7094d23861965fd9afc320bb4e696b64	141983987	released
dababe87-9662-4aaf-9162-040a56414e77	TCGA-ET-A3DV-11A-01-TSA.2FB079CE-2F9C-4B20-A0FF-EAFD30A4E016.svs	20c3cfc1e4ddba2eaa384ef2d9423ae4	74735701	released
